"Department for Education  DATA COLLECTION
Year 2011-12
Table B",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LA No.,,,381,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LA Name,,,Calderdale,,,,,,,,,,,,,,,,,,
Phase,School Name,DfE Reference Number,"Opening Pupil Focused Revenue Balance [OB01]
(2010-11 B01 & B02 carried forward) ",,"Opening Community Focused  School Revenue Balance [OB02]
(2010-11 B06 carried forward) ",,,,Planned Budget Share,Delegated Funds (Including YPLA funding) [I01 & I02],,SEN Funding  [I03] and Minority Ethnic Pupils [I04],Pupil Premium [I05],Other Government Grants [I06],Income generated by schools (excluding community focused income) [I07 to I13],Pupil focused extended school funding and/or grants [I15],Community focused school funding and/or grants [I16],Community focused  school facilities income [I17],Total resources available to school (sum of 3 + 4 + (6 to 13)),"School Expenditure (does not include community focused expenditure, CERA or income) [E01 to E29] ",Community focused school expenditure (does not include income) [E31 & E32] ,Capital Expenditure from Revenue - CERA [E30],Committed Revenue Balance [B01]  ,Uncommitted Revenue Balance [B02],Community Focused School Revenue Balance [B06]
,Moorside Community Primary School,3332,"164,514",,0,,,,"1,156,273","1,022,734",,"182,944","43,920","30,144","56,088",0,0,0,"1,500,344","1,383,190",0,"33,336","83,818",0,0
,Salterlee Primary School,5200,"22,175",,0,,,,"385,380","165,634",,"1,200",621,0,"16,523",0,0,0,"206,154","176,493",0,0,0,"29,660",0
,All Saints' CE VA Junior and Infant School,5201,"56,524",,0,,,,"647,517","675,900",,"5,623","1,952","7,685","72,479",0,0,0,"820,163","777,037",0,"3,908","39,218",0,0
,St Michael and All Angels CofE Primary School,5202,"69,667",,0,,,,"773,726","718,252",,"110,470","11,167",416,"88,625",0,0,0,"998,598","897,968",0,"5,631","94,999",0,0
,St John's CofE  Primary Academy,5203,"86,990",,0,,,,"726,150","360,800",,"30,534","2,258",320,"37,246",0,0,"32,320","550,467","432,691","32,320",-886,"86,342",0,0
,Lightcliffe CofE VA Primary School,5204,"86,728",,0,,,,"1,220,369","1,232,382",,"68,940","8,296",0,"203,511",0,0,0,"1,599,856","1,505,538",0,"6,711","87,607",0,0
,West Vale Primary School,5205,"75,676",,0,,,,"599,951","596,477",,"21,470","17,080",0,"47,330",0,0,0,"758,034","693,572",0,"10,814","53,648",0,0
,St Chad's CE (VA) Primary School,5206,"38,436",,0,,,,"665,045","659,259",,"43,023","2,440",0,"78,488",0,0,0,"821,645","770,709",0,0,"50,936",0,0
,Longroyde Junior School,5207,"77,514",,-272,,,,"881,037","801,318",,"133,284","20,496",0,"61,573",0,0,0,"1,093,911","1,021,976",0,0,"72,207",0,-272
,Walsden St Peters CofE CC Primary School,5208,"47,121",,0,,,,"610,693","597,912",,"38,427","5,368",0,"25,832",0,0,0,"714,659","677,225",0,0,"37,435",0,0
,Total Primary Schools,,"5,857,697",,"142,878",,,,"68,125,289","59,423,668",,"7,885,417","1,405,330","509,619","5,495,357",603,"646,973","991,957","82,359,499","73,423,908","1,652,905","1,556,237","5,304,340","293,207","128,903"
Secondary Schools,Park Lane High,4001,"852,233",,0,,,,"3,179,337","2,728,060",,"555,571","101,179","40,616","147,929",0,0,0,"4,425,588","3,823,019",0,"69,946","532,622",0,0
,"Calder High School, A Specialist Technology College",4022,"206,704",,0,,,,"6,412,311","6,167,685",,"601,608","61,200","102,763","398,483",0,0,0,"7,538,442","7,028,726",0,0,"509,716",0,0
,Sowerby Bridge High School,4024,"415,763",,0,,,,"5,747,815","4,736,229",,"1,294,256","115,168","23,333","176,530",0,0,0,"6,761,280","6,543,288",0,0,0,"217,992",0
,Todmorden High School,4026,"175,240",,0,,,,"3,599,933","3,494,955",,"252,356","47,824","12,487","181,987",0,0,0,"4,164,849","4,015,901",0,0,"148,948",0,0
,Halifax High at Wellesley Park,4035,"285,025",,0,,,,"5,226,549","4,132,277",,"1,291,937","119,560","58,345","172,281",0,0,0,"6,059,425","5,739,319",0,"56,543","263,563",0,0
,The North Halifax Grammar School,5400,"165,547",,0,,,,"4,748,682","829,982",,"9,063",0,0,"105,998",0,0,0,"1,110,590","946,633",0,"26,447","137,511",0,0
,The Crossley Heath School,5401,"224,550",,0,,,,"4,635,354","4,761,353",,"111,884","11,624","5,590","509,414",0,0,0,"5,624,416","5,217,760",0,"38,944","367,712",0,0
,Rastrick High School,5402,"374,782",,0,,,,"6,722,924","2,661,576",,"323,834","20,771","25,000","222,274",0,0,0,"3,628,237","3,287,956",0,"10,893","329,391",0,0
,Hipperholme and Lightcliffe High School and Sports College,5404,"176,237",,"28,789",,,,"6,113,621","2,012,386",,"154,611","15,050","27,795","145,038",0,0,"10,050","2,569,955","2,324,570","6,311","244,887","-38,340",0,"32,527"
,The Brooksbank School,5405,"407,968",,0,,,,"7,388,845","3,650,881",,"252,921","47,012","23,729","340,677",0,0,0,"4,723,188","4,157,409",0,"148,152","417,627",0,0
,St Catherine's Catholic High School,5407,"-243,699",,"68,164",,,,"3,787,444","3,270,350",,"687,697","107,184","5,590","125,894",0,0,588,"4,021,767","3,989,385","27,145","3,022",0,"-39,391","41,607"
,Ryburn Valley High School,5408,"369,441",,"3,106",,,,"6,692,060","6,197,966",,"858,755","59,448","10,918","236,632",0,0,0,"7,736,265","7,105,941","3,106","75,370","551,848",0,0
,Total Secondary Schools,,"3,409,792",,"100,059",,,,"64,254,874","44,643,700",,"6,394,493","706,020","336,166","2,763,137",0,0,"10,638","58,364,004","54,179,907","36,562","674,205","3,220,597","178,601","74,134"
Special Schools,Wood Bank School,7008,"70,210",,"22,491",,,,"1,287,032","1,307,417",,"4,310","7,808",0,"73,734",0,106,684,"1,486,760","1,356,493","4,411","22,781","84,205",0,"18,870"
,Ravenscliffe High School,7009,"184,374",,0,,,,"2,605,465","2,671,949",,"1,510","15,616","61,081","270,380",0,0,0,"3,204,911","2,778,593",0,"113,047","313,271",0,0
,Highbury School,7010,"111,276",,0,,,,"1,211,626","1,236,341",,"1,650","7,320",0,"62,648",0,0,0,"1,419,235","1,269,252",0,0,"149,984",0,0
,Total Special Schools,,"365,860",,"22,491",,,,"5,104,123","5,215,708",,"7,470","30,744","61,081","406,762",0,106,684,"6,110,906","5,404,338","4,411","135,828","547,460",0,"18,870"
,Total All Schools,,"9,633,348",,"265,428",,,,"137,484,286","109,283,076",,"14,287,380","2,142,095","906,866","8,665,256",603,"647,079","1,003,279","146,834,409","133,008,152","1,693,878","2,366,269","9,072,396","471,808","221,907"
