"Table 2: Early estimates of proven re-offending rates for Prolific and other Priority Offenders, by upper-tier local authority1: 2009-2010",,,,,
,,,,,
,Jan 2009 to Dec 2009,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010
Average number of previous offences per offender,74.5,78.5,78.5,85.2,*
,,,,,
Cheshire West and Chester,,,,,
Proportion of offenders who re-offend (%),50.0,48.6,45.9,35.3,29.6
Average number of re-offences per re-offender,2.67,3.22,3.24,*,*
Average number of re-offences per offender,1.33,1.57,1.49,*,*
Number of re-offences,56,58,55,27,18
Number of offenders in cohort,42,37,37,34,27
Average number of previous offences per offender,51.6,52.2,53.5,53.1,57.4
,,,,,
City of London,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,17,22,20,12,23
Number of offenders in cohort,16,17,17,16,13
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Conwy,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,1,2,4,2,2
Number of offenders in cohort,7,6,6,7,6
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Cornwall,,,,,
Proportion of offenders who re-offend (%),39.1,41.9,47.5,43.6,52.6
Average number of re-offences per re-offender,2.28,2.50,3.11,2.18,2.20
Average number of re-offences per offender,0.89,1.05,1.48,0.95,1.16
Number of re-offences,41,45,59,37,44
Number of offenders in cohort,46,43,40,39,38
Average number of previous offences per offender,63.5,60.4,60.4,58.9,55.7
,,,,,
Coventry,,,,,
Proportion of offenders who re-offend (%),28.3,32.1,34.0,39.1,36.2
Average number of re-offences per re-offender,*,1.82,1.78,1.72,*
Average number of re-offences per offender,*,0.58,0.60,0.67,*
Number of re-offences,28,31,32,31,27
Number of offenders in cohort,60,53,53,46,47
Average number of previous offences per offender,67.8,63.4,64.3,66.2,67.6
,,,,,
Croydon,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,4,4,7,5,3
Number of offenders in cohort,10,10,12,15,12
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Cumbria,,,,,
Proportion of offenders who re-offend (%),37.7,52.2,68.2,61.1,53.0
Average number of re-offences per re-offender,2.77,2.57,2.67,2.59,2.37
Average number of re-offences per offender,1.04,1.34,1.82,1.58,1.26
Number of re-offences,72,90,120,114,83
Number of offenders in cohort,69,67,66,72,66
Average number of previous offences per offender,80.5,80.7,80.3,79.4,79.5
,,,,,
Darlington,,,,,
Proportion of offenders who re-offend (%),*,56.3,*,*,*
Average number of re-offences per re-offender,*,3.00,*,*,*
Average number of re-offences per offender,*,1.69,*,*,*
Number of re-offences,34,54,34,46,46
Number of offenders in cohort,27,32,28,29,27
Average number of previous offences per offender,*,57.1,*,*,*
,,,,,
Denbighshire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,15,12,9,7,5
Number of offenders in cohort,8,9,6,7,8
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Derby,,,,,
Proportion of offenders who re-offend (%),35.5,35.1,33.3,33.3,33.3
Average number of re-offences per re-offender,2.23,2.10,1.94,1.83,1.76
Average number of re-offences per offender,0.79,0.74,0.65,0.61,0.59
Number of re-offences,49,42,33,33,30
Number of offenders in cohort,62,57,51,54,51
Average number of previous offences per offender,58.3,61.0,60.7,61.4,61.5
,,,,,
Derbyshire,,,,,
Proportion of offenders who re-offend (%),30.5,36.4,39.2,38.2,34.9
Average number of re-offences per re-offender,2.42,2.44,2.53,2.60,2.50
Average number of re-offences per offender,0.74,0.89,0.99,0.99,0.87
Number of re-offences,104,117,124,122,110
Number of offenders in cohort,141,132,125,123,126
Average number of previous offences per offender,58.0,61.0,62.0,64.3,65.6
,,,,,
Devon,,,,,
Proportion of offenders who re-offend (%),42.3,37.0,37.8,35.0,36.4
Average number of re-offences per re-offender,2.43,2.60,1.97,2.64,2.43
Average number of re-offences per offender,1.03,0.96,0.74,0.93,0.88
Number of re-offences,73,78,61,74,68
Number of offenders in cohort,71,81,82,80,77
Average number of previous offences per offender,81.0,77.5,75.1,74.7,74.7
,,,,,
Doncaster,,,,,
Proportion of offenders who re-offend (%),33.8,45.9,52.0,52.0,47.2
Average number of re-offences per re-offender,2.32,2.39,2.58,2.27,2.64
Average number of re-offences per offender,0.78,1.10,1.34,1.18,1.25
Number of re-offences,51,67,67,59,66
Number of offenders in cohort,65,61,50,50,53
Average number of previous offences per offender,59.6,61.1,61.6,60.8,59.2
,,,,,
Dorset,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,11,20,15,14,14
Number of offenders in cohort,15,17,16,14,13
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Dudley,,,,,
Proportion of offenders who re-offend (%),32.7,43.9,39.0,35.9,33.3
Average number of re-offences per re-offender,*,2.33,*,*,*
Average number of re-offences per offender,*,1.02,*,*,*
Number of re-offences,29,42,25,22,26
Number of offenders in cohort,49,41,41,39,42
Average number of previous offences per offender,68.8,66.5,69.4,65.8,69.1
,,,,,
Durham,,,,,
Proportion of offenders who re-offend (%),64.0,64.9,68.8,*,*
Average number of re-offences per re-offender,2.98,3.38,3.09,*,*
Average number of re-offences per offender,1.91,2.19,2.13,*,*
Number of re-offences,143,81,68,54,41
Number of offenders in cohort,75,37,32,26,19
Average number of previous offences per offender,55.6,55.5,55.8,*,*
,,,,,
Ealing,,,,,
Proportion of offenders who re-offend (%),39.5,39.0,32.4,32.3,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,25,28,20,13,12
Number of offenders in cohort,38,41,37,31,27
Average number of previous offences per offender,47.0,41.1,40.3,41.6,*
,,,,,
East Riding of Yorkshire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,33,28,23,17,24
Number of offenders in cohort,26,21,23,25,22
Average number of previous offences per offender,*,*,*,*,*
,,,,,
East Sussex,,,,,
Proportion of offenders who re-offend (%),48.1,42.5,37.7,38.8,42.6
Average number of re-offences per re-offender,2.33,2.26,2.31,2.42,2.23
Average number of re-offences per offender,1.12,0.96,0.87,0.94,0.95
Number of re-offences,91,70,60,63,58
Number of offenders in cohort,81,73,69,67,61
Average number of previous offences per offender,47.3,45.8,45.5,48.7,50.2
,,,,,
Enfield,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,15,18,24,14,4
Number of offenders in cohort,25,21,22,20,18
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Essex,,,,,
Proportion of offenders who re-offend (%),41.0,39.8,38.4,41.4,42.1
Average number of re-offences per re-offender,2.09,2.08,2.05,1.88,2.44
Average number of re-offences per offender,0.86,0.83,0.79,0.78,1.03
Number of re-offences,142,133,125,113,149
Number of offenders in cohort,166,161,159,145,145
Average number of previous offences per offender,39.5,37.7,39.3,41.2,39.0
,,,,,
Flintshire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,6,9,6,3,11
Number of offenders in cohort,8,9,10,8,8
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Gateshead,,,,,
Proportion of offenders who re-offend (%),56.4,45.9,43.2,50.0,42.1
