"Table 2: Early estimates of proven re-offending rates for Prolific and other Priority Offenders, by upper-tier local authority1: 2009-2010",,,,,
,,,,,
,Jan 2009 to Dec 2009,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010
Average number of re-offences per offender,1.35,1.48,1.44,1.08,1.26
Number of re-offences,100,98,92,68,83
Number of offenders in cohort,74,66,64,63,66
Average number of previous offences per offender,53.4,54.1,55.5,51.0,48.8
,,,,,
West Berkshire,,,,,
Proportion of offenders who re-offend (%),*,51.6,*,*,51.4
Average number of re-offences per re-offender,*,2.63,*,*,2.28
Average number of re-offences per offender,*,1.35,*,*,1.17
Number of re-offences,24,42,40,39,41
Number of offenders in cohort,16,31,27,22,35
Average number of previous offences per offender,*,66.6,*,*,59.9
,,,,,
West Sussex,,,,,
Proportion of offenders who re-offend (%),46.4,48.0,41.8,45.2,55.3
Average number of re-offences per re-offender,2.27,2.42,2.49,2.79,2.65
Average number of re-offences per offender,1.05,1.16,1.04,1.26,1.47
Number of re-offences,118,116,102,117,138
Number of offenders in cohort,112,100,98,93,94
Average number of previous offences per offender,48.0,46.1,45.3,43.6,43.2
,,,,,
Westminster,,,,,
Proportion of offenders who re-offend (%),*,46.7,*,*,*
Average number of re-offences per re-offender,*,2.14,*,*,*
Average number of re-offences per offender,*,1.00,*,*,*
Number of re-offences,42,30,23,18,8
Number of offenders in cohort,29,30,23,19,15
Average number of previous offences per offender,*,36.8,*,*,*
,,,,,
Wigan,,,,,
Proportion of offenders who re-offend (%),38.0,34.0,34.9,37.7,33.3
Average number of re-offences per re-offender,2.21,2.00,2.67,1.60,1.79
Average number of re-offences per offender,0.84,0.68,0.93,0.60,0.60
Number of re-offences,42,32,40,32,34
Number of offenders in cohort,50,47,43,53,57
Average number of previous offences per offender,49.1,48.9,50.9,49.4,51.1
,,,,,
Wiltshire,,,,,
Proportion of offenders who re-offend (%),58.8,52.6,41.5,40.0,50.0
Average number of re-offences per re-offender,3.55,2.75,2.94,3.64,1.84
Average number of re-offences per offender,2.09,1.45,1.22,1.46,0.92
Number of re-offences,71,55,50,51,35
Number of offenders in cohort,34,38,41,35,38
Average number of previous offences per offender,73.2,70.9,66.5,65.7,63.3
,,,,,
Windsor and Maidenhead,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,13,12,9,6,16
Number of offenders in cohort,17,16,16,17,24
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Wirral,,,,,
Proportion of offenders who re-offend (%),53.2,54.3,66.7,60.5,40.0
Average number of re-offences per re-offender,3.28,1.89,1.64,1.69,2.15
Average number of re-offences per offender,1.74,1.03,1.10,1.02,0.86
Number of re-offences,82,36,46,44,43
Number of offenders in cohort,47,35,42,43,50
Average number of previous offences per offender,65.2,66.2,66.9,69.4,64.7
,,,,,
Wokingham,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,3,8,2,8,13
Number of offenders in cohort,8,11,10,8,9
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Wolverhampton,,,,,
Proportion of offenders who re-offend (%),30.8,35.0,32.4,35.3,33.3
Average number of re-offences per re-offender,2.92,3.50,3.58,*,*
Average number of re-offences per offender,0.90,1.23,1.16,*,*
Number of re-offences,35,49,43,20,27
Number of offenders in cohort,39,40,37,34,33
Average number of previous offences per offender,59.5,60.4,62.7,62.4,64.7
,,,,,
Worcestershire,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,24,14,10,12,18
Number of offenders in cohort,22,20,19,18,24
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Wrexham,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,24,14,28,26,20
Number of offenders in cohort,22,14,15,15,15
Average number of previous offences per offender,*,*,*,*,*
,,,,,
York,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,11,15,11,11,12
Number of offenders in cohort,23,24,21,20,15
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Unknown/More than one,,,,,
Proportion of offenders who re-offend (%),*,59.5,63.2,66.7,56.1
Average number of re-offences per re-offender,*,2.55,3.00,2.86,2.61
Average number of re-offences per offender,*,1.51,1.89,1.90,1.46
Number of re-offences,12,56,72,80,60
Number of offenders in cohort,9,37,38,42,41
Average number of previous offences per offender,*,69.0,72.9,74.6,79.9
