Table 5,,,,,,,,,,,,,,,,,,,,
"PLACEMENT OF CHILDREN AND YOUNG PEOPLE FOR WHOM LOCAL AUTHORITIES MAINTAIN A STATEMENT OF SPECIAL EDUCATIONAL NEEDS (SEN), OR EHC PLAN BY EACH LOCAL AUTHORITY (1)",,,,,,,,,,,,,,,,,,,,
By region and Local Authority area in England,,,,,,,,,,,,,,,,,,,,
January: 2015,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
LA Code,,,"Total children and young people for whom the authority maintains a statement of SEN, or EHC plan","Percentages of children and young people for whom the authority maintains a statement, or EHC plan placed in: (2)",,,,,,,,,,,,,,,"Percentage of children and young people for whom the authority maintains a statement of SEN, or EHC plan who were educated other than in school (2)","Percentage of children and young people for whom the authority maintains a statement of SEN, or EHC plan who were awaiting provision (2)"
,,,,non-maintained early years settings in the private and voluntary sector,resourced provision in maintained mainstream schools,SEN units in maintained mainstream schools,maintained mainstream schools (including foundation schools),maintained special schools (including foundation schools),"non-maintained special schools, independent special schools and other independent schools",hospital schools (including foundation schools) and pupil referral units,academies (including free schools),special academies (including free schools),alternative provision academies (including free schools),general further education and tertiary colleges/ higher education,other further education,sixth form college,work based learning (apprenticeships),independent specialist providers,,
,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,"240,185",0.4,3.4,2.1,29.3,34.5,6.5,0.5,15.9,5.7,0.1,0.0,0.0,x,0.0,x,1.0,0.4
,,YORKSHIRE AND THE HUMBER,"20,070",0.6,5.0,0.3,35.6,33.8,3.8,1.3,13.9,4.5,0.2,x,0.0,0.0,0.0,0.0,0.5,0.4
E08000016,370.0,Barnsley,"1,315",2.2,5.8,0.0,44.5,23.1,4.0,0.0,13.1,5.6,1.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0
E08000032,380.0,Bradford,"2,225",0.0,10.6,0.0,29.3,26.6,2.9,5.3,9.4,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9
E08000033,381.0,Calderdale,930,x,2.0,0.0,35.5,31.5,3.5,1.2,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4
E08000017,371.0,Doncaster,"1,255",x,0.0,0.0,40.4,40.1,3.9,2.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3
E06000011,811.0,East Riding of Yorkshire,"1,000",2.0,1.1,0.6,68.5,7.9,4.0,0.0,13.5,1.7,0.5,0.0,0.0,0.0,0.0,0.0,x,0.0
E06000010,810.0,"Kingston Upon Hull, City of","1,245",0.8,1.7,0.0,28.8,34.9,1.7,x,20.6,9.8,0.9,0.0,0.0,0.0,0.0,0.0,0.3,0.3
E08000034,382.0,Kirklees,"1,905",0.4,6.6,0.0,47.8,33.2,2.6,0.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
E08000035,383.0,Leeds,"2,160",1.0,5.5,0.0,37.1,44.3,3.6,0.4,6.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,x
E06000012,812.0,North East Lincolnshire,535,0.6,0.0,0.0,6.7,1.3,7.3,0.0,29.1,53.2,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.6
E06000013,813.0,North Lincolnshire,760,0.0,0.0,0.0,29.0,34.3,8.7,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x,0.0
E10000023,815.0,North Yorkshire,"1,730",0.2,0.3,1.1,45.5,36.3,5.7,0.6,5.5,3.9,x,0.0,0.0,0.0,0.0,0.0,0.3,0.5
E08000018,372.0,Rotherham,"1,060",0.0,3.9,3.7,26.0,50.4,6.3,1.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,x
E08000019,373.0,Sheffield,"2,070",0.6,12.7,0.0,20.8,47.8,3.0,x,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.9
E08000036,384.0,Wakefield,"1,385",0.5,4.8,0.0,27.6,28.2,2.2,0.4,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
E06000014,816.0,York,485,x,4.7,0.0,37.0,35.1,3.5,7.8,10.5,0.0,0.0,x,0.0,0.0,0.0,0.0,0.6,0.0
,,,,,,,,,,,,,,,,,,,,
,,EAST MIDLANDS,"18,135",0.4,3.1,2.9,22.4,34.8,6.0,0.4,20.9,7.5,0.0,x,0.0,x,0.0,0.0,1.2,0.4
E06000015,831.0,Derby,"1,130",0.7,16.5,0.0,4.7,51.2,11.5,x,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
E10000007,830.0,Derbyshire,"3,305",0.5,7.6,0.0,46.9,26.6,2.9,1.6,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.3
